wins,loss
17,0
31,0
24,21
36,24
38,21
26,10
47,27
14,9
27,24
17,14
13,3
25,20
27,20
13,12
21,14
16,14
35,14
23,21
24,21
30,7
31,13
28,7
26,13
17,13
21,16
32,3
20,9
24,23
24,14
41,7
19,16
19,15
24,10
20,3
28,7
17,3
19,13
27,21
20,3
34,31
23,20
30,7
24,21
29,28
28,6
24,23
31,17
23,20
17,7
24,10
37,13
34,0
38,10
31,16
28,27
36,14
24,21
33,20
34,27
20,16
14,10
23,19
27,13
34,31
38,24
30,29
45,35
26,14
48,17
39,3
25,20
43,24
20,3
24,20
24,17
34,17
38,9
32,24
17,10
27,17
30,27
13,7
17,13
23,10
27,7
19,7
24,9
44,24
20,19
34,13
27,7
17,12
27,10
27,10
24,10
21,20
31,21
20,17
41,10
21,10
38,17
41,10
41,38
21,7
21,9
48,20
24,9
23,3
9,7
24,20
42,0
26,6
31,14
17,13
27,22
24,7
30,24
45,14
17,3
13,10
35,7
17,16
17,7
19,7
31,7
29,16
24,6
28,14
14,0
24,23
31,17
20,0
27,10
35,23
31,7
24,21
24,21
16,13
24,21
17,14
27,3
13,10
40,27
27,17
34,20
31,13
10,7
41,13
20,10
30,13
28,17
27,24
24,7
34,14
13,10
27,24
38,23
23,17
30,23
42,20
23,17
16,12
37,7
13,10
38,17
23,20
17,13
20,17
23,7
7,3
31,7
20,17
24,13
24,3
58,14
23,15
20,14
10,9
24,20
31,20
23,20
38,31
17,13
25,10
13,10
26,13
29,21
9,6
24,17
27,10
41,10
24,7
31,0
20,10
38,21
26,10
24,17
28,24
35,28
35,0
17,3
42,7
40,20
27,14
24,14
20,13
13,10
24,21
24,21
17,12
21,10
23,21
26,7
29,14
13,10
20,17
23,17
21,14
16,14
30,10
17,12
22,13
34,14
20,17
20,6
17,16
41,14
16,6
44,34
28,10
31,3
20,10
51,3
15,13
20,19
26,14
16,13
27,24
14,3
20,3
10,6
35,31
24,14
26,20
47,17
45,14
16,7
45,0
16,14
52,34
20,19
21,20
26,10
19,13
20,0
17,6
17,10
23,14
34,14
20,13
16,13
30,7
33,31
24,0
14,13
20,17
34,0
20,6
17,14
15,13
17,13
13,10
16,0
23,20
16,10
24,7
17,7
33,24
34,27
21,17
23,14
13,10
24,20
26,0
16,13
17,10
27,10
20,13
27,19
17,9
19,13
17,0
31,0
24,21
36,24
38,21
26,10
47,27
14,9
27,24
17,14
13,3
25,20
27,20
13,12
21,14
16,14
35,14
23,21
24,21
30,7
31,13
28,7
26,13
17,13
21,16
32,3
20,9
24,23
24,14
41,7
19,16
19,15
24,10
20,3
28,7
17,3
19,13
27,21
20,3
34,31
23,20
30,7
24,21
29,28
28,6
24,23
31,17
23,20
17,7
24,10
37,13
34,0
38,10
31,16
28,27
36,14
24,21
33,20
34,27
20,16
14,10
23,19
27,13
34,31
38,24
30,29
45,35
26,14
48,17
39,3
25,20
43,24
20,3
24,20
24,17
34,17
38,9
32,24
17,10
27,17
30,27
13,7
17,13
23,10
27,7
19,7
24,9
44,24
20,19
34,13
27,7
17,12
27,10
27,10
24,10
21,20
31,21
20,17
41,10
21,10
38,17
41,10
41,38
21,7
21,9
48,20
24,9
23,3
9,7
24,20
42,0
26,6
31,14
17,13
27,22
24,7
30,24
45,14
17,3
13,10
35,7
17,16
17,7
19,7
31,7
29,16
24,6
28,14
14,0
24,23
31,17
20,0
27,10
35,23
31,7
24,21
24,21
16,13
24,21
17,14
27,3
13,10
40,27
27,17
34,20
31,13
10,7
41,13
20,10
30,13
28,17
27,24
24,7
34,14
13,10
27,24
38,23
23,17
30,23
42,20
23,17
16,12
37,7
13,10
38,17
23,20
17,13
20,17
23,7
7,3
31,7
20,17
24,13
24,3
58,14
23,15
20,14
10,9
24,20
31,20
23,20
38,31
17,13
25,10
13,10
26,13
29,21
9,6
24,17
27,10
41,10
24,7
31,0
20,10
38,21
26,10
24,17
28,24
35,28
35,0
17,3
42,7
40,20
27,14
24,14
20,13
13,10
24,21
24,21
17,12
21,10
23,21
26,7
29,14
13,10
20,17
23,17
21,14
16,14
30,10
17,12
22,13
34,14
20,17
20,6
17,16
41,14
16,6
44,34
28,10
31,3
20,10
51,3
15,13
20,19
26,14
16,13
27,24
14,3
20,3
10,6
35,31
24,14
26,20
47,17
45,14
16,7
45,0
16,14
52,34
20,19
21,20
26,10
19,13
20,0
17,6
17,10
23,14
34,14
20,13
16,13
30,7
33,31
24,0
14,13
20,17
34,0
20,6
17,14
15,13
17,13
13,10
16,0
23,20
16,10
24,7
17,7
33,24
34,27
21,17
23,14
13,10
24,20
26,0
16,13
17,10
27,10
20,13
27,19
17,9
19,13
35,20
27,6
31,3
21,16
24,10
31,3
14,13
23,21
12,6
41,23
13,6
23,0
17,14
13,7
20,7
14,13
42,14
20,10
20,17
24,20
21,13
20,9
21,3
33,6
35,23
42,6
42,17
13,6
34,7
42,7
39,34
30,24
23,20
23,20
23,20
10,0
17,6
27,7
26,23
23,7
17,13
16,10
35,3
30,24
20,17
19,16
35,16
31,14
27,0
23,7
35,3
20,17
28,0
17,14
20,9
9,6
34,10
17,13
24,21
20,10
22,17
17,14
16,13
19,16
28,13
23,21
24,17
27,7
10,6
20,13
30,7
32,30
33,27
56,17
30,21
26,23
28,27
10,3
34,24
21,14
17,14
27,20
17,16
30,20
34,17
31,17
43,7
41,14
17,10
28,21
24,20
35,21
21,10
14,10
24,21
31,7
22,9
28,24
41,27
20,15
38,14
24,21
21,14
26,14
16,13
34,14
14,10
16,13
13,10
24,3
34,14
23,20
33,10
16,6
20,10
35,31
33,14
31,0
24,13
38,24
